value,bdrms,subboroughname,race,year,income_tile,non_bdrms
800000,5,Stuyvesant Town/Turtle Bay,White,2002,5,2
800000,2,Stuyvesant Town/Turtle Bay,White,2002,5,0
150000,2,Chelsea/Clinton/Midtown,White,2002,2,0
170000,2,Lower East Side/Chinatown,White,2002,1,1
800000,3,Upper East Side,White,2002,4,2
175000,2,Chelsea/Clinton/Midtown,White,2002,2,1
450000,2,Stuyvesant Town/Turtle Bay,White,2002,3,1
150000,2,Washington Heights/Inwood,White,2002,3,0
100000,1,Stuyvesant Town/Turtle Bay,White,2002,4,0
280000,2,Stuyvesant Town/Turtle Bay,Hispanic,2002,5,1
1957402,3,Upper West Side,White,2002,4,2
700000,2,Upper West Side,White,2002,5,2
300000,1,Upper East Side,White,2002,2,1
65000,2,Lower East Side/Chinatown,White,2002,4,1
60000,3,Greenwich Village/Financial District,White,2002,4,1
1957402,3,Upper East Side,White,2002,5,1
500000,3,Upper East Side,White,2002,5,1
1957402,3,Upper West Side,White,2002,5,3
600000,3,Greenwich Village/Financial District,Others,2002,5,0
500000,3,Stuyvesant Town/Turtle Bay,White,2002,5,2
160000,2,Upper West Side,White,2002,3,0
1957402,5,Upper East Side,White,2002,3,2
85000,4,Morningside Heights/Hamilton Heights,White,2002,3,2
900000,4,Stuyvesant Town/Turtle Bay,White,2002,5,3
750000,1,Greenwich Village/Financial District,White,2002,4,0
30000,3,East Harlem,Black,2002,3,1
1957402,5,Upper West Side,White,2002,1,2
150000,2,Washington Heights/Inwood,White,2002,4,0
450000,2,Stuyvesant Town/Turtle Bay,White,2002,5,1
150000,3,Washington Heights/Inwood,Hispanic,2002,3,1
420000,2,Lower East Side/Chinatown,White,2002,5,0
1957402,3,Upper West Side,White,2002,5,1
300000,3,Washington Heights/Inwood,Others,2002,3,2
700000,3,Upper West Side,White,2002,5,0
175000,4,Morningside Heights/Hamilton Heights,Others,2002,3,2
200000,1,Greenwich Village/Financial District,White,2002,5,0
33900,2,Greenwich Village/Financial District,White,2002,5,1
500000,1,Upper East Side,Black,2002,1,1
150000,2,Upper West Side,Others,2002,2,1
400000,2,Upper East Side,White,2002,5,1
200000,1,Chelsea/Clinton/Midtown,White,2002,3,1
700000,3,Greenwich Village/Financial District,White,2002,5,2
250000,3,Lower East Side/Chinatown,White,2002,3,1
300000,3,Greenwich Village/Financial District,Hispanic,2002,5,1
310000,2,Chelsea/Clinton/Midtown,White,2002,4,1
25000,2,Central Harlem,Black,2002,1,2
17000,2,Chelsea/Clinton/Midtown,Others,2002,3,0
12000,2,Chelsea/Clinton/Midtown,White,2002,3,1
1957402,4,Upper East Side,Others,2002,5,1
500000,3,Upper East Side,White,2002,5,1
125000,2,Stuyvesant Town/Turtle Bay,White,2002,5,0
1957402,3,Upper East Side,White,2002,4,4
900000,3,Upper West Side,White,2002,4,3
85000,4,Morningside Heights/Hamilton Heights,Black,2002,4,1
750000,3,Upper East Side,White,2002,5,4
500000,2,Greenwich Village/Financial District,White,2002,3,1
800000,3,Upper West Side,White,2002,5,1
200000,2,Chelsea/Clinton/Midtown,White,2002,5,0
125000,3,Washington Heights/Inwood,Hispanic,2002,2,1
275000,2,Stuyvesant Town/Turtle Bay,White,2002,4,1
350000,2,Lower East Side/Chinatown,White,2002,1,1
180000,1,Upper East Side,White,2002,3,1
200000,2,Chelsea/Clinton/Midtown,White,2002,5,0
900000,3,Upper East Side,White,2002,3,2
250000,2,Stuyvesant Town/Turtle Bay,White,2002,1,0
800000,4,Upper West Side,White,2002,4,1
390000,2,Upper East Side,White,2002,5,1
1957402,3,Chelsea/Clinton/Midtown,White,2002,5,1
1957402,3,Chelsea/Clinton/Midtown,Others,2002,4,1
200000,2,Upper East Side,White,2002,4,1
1957402,3,Upper West Side,White,2002,4,2
600000,3,Upper East Side,White,2002,2,2
1957402,4,Upper East Side,White,2002,5,2
380000,3,Stuyvesant Town/Turtle Bay,Others,2002,2,0
1957402,3,Greenwich Village/Financial District,White,2002,5,0
1957402,2,Upper East Side,White,2002,5,2
340000,2,Upper East Side,White,2002,4,1
100000,3,Washington Heights/Inwood,White,2002,4,2
300000,2,Stuyvesant Town/Turtle Bay,White,2002,5,1
300000,3,Lower East Side/Chinatown,Hispanic,2002,2,1
1957402,4,Upper West Side,Others,2002,5,2
400000,3,Greenwich Village/Financial District,White,2002,3,1
300000,2,Stuyvesant Town/Turtle Bay,White,2002,4,1
425000,2,Upper East Side,Others,2002,5,1
300000,2,Stuyvesant Town/Turtle Bay,White,2002,5,1
275000,2,Greenwich Village/Financial District,White,2002,4,1
550000,2,Stuyvesant Town/Turtle Bay,White,2002,5,0
280000,2,Upper East Side,White,2002,2,0
950000,3,Upper East Side,White,2002,4,1
200000,1,Greenwich Village/Financial District,White,2002,1,1
450000,2,Upper West Side,White,2002,3,1
390000,3,Upper West Side,Others,2002,4,3
100000,3,East Harlem,Hispanic,2002,4,2
2500,2,Lower East Side/Chinatown,White,2002,2,1
220000,2,Upper West Side,White,2002,5,0
300000,1,Upper West Side,White,2002,2,0
25000,1,Upper West Side,White,2002,3,0
30000,3,Upper East Side,White,2002,5,1
1957402,4,Upper East Side,White,2002,2,4
540000,2,Upper East Side,Hispanic,2002,5,1
85000,2,Morningside Heights/Hamilton Heights,Black,2002,4,1
1957402,1,Upper West Side,White,2002,5,0
400000,2,Greenwich Village/Financial District,White,2002,4,1
10000,2,Morningside Heights/Hamilton Heights,Black,2002,3,1
150000,2,Washington Heights/Inwood,White,2002,3,2
200000,3,Upper East Side,Hispanic,2002,2,1
165000,2,Upper East Side,White,2002,4,1
700000,3,Upper West Side,White,2002,2,1
368000,2,Upper West Side,White,2002,4,0
1957402,3,Upper East Side,White,2002,5,4
150000,2,Upper East Side,White,2002,4,1
350000,2,Upper East Side,White,2002,5,1
3000,3,Chelsea/Clinton/Midtown,Hispanic,2002,3,1
2500,2,Lower East Side/Chinatown,White,2002,1,1
700000,3,Upper East Side,White,2002,3,1
500000,3,Upper East Side,Others,2002,1,0
150000,1,Upper East Side,White,2002,2,1
750000,4,Stuyvesant Town/Turtle Bay,White,2002,5,2
243000,2,Upper East Side,White,2002,4,1
1957402,4,Upper East Side,White,2002,5,3
700000,3,Upper West Side,White,2002,2,1
200000,3,Upper West Side,Black,2002,4,1
800000,5,Upper East Side,White,2002,4,1
275000,2,Greenwich Village/Financial District,White,2002,5,0
230000,2,Stuyvesant Town/Turtle Bay,White,2002,5,0
5000,4,Washington Heights/Inwood,Black,2002,1,1
200000,4,Lower East Side/Chinatown,Hispanic,2002,3,1
1957402,4,Stuyvesant Town/Turtle Bay,White,2002,5,4
1957402,5,Greenwich Village/Financial District,White,2002,5,1
1957402,3,Upper West Side,White,2002,5,2
1957402,4,Upper East Side,White,2002,5,4
250000,5,Morningside Heights/Hamilton Heights,Black,2002,5,2
300000,2,Stuyvesant Town/Turtle Bay,White,2002,4,1
800000,4,Upper West Side,White,2002,4,2
875000,3,Central Harlem,Black,2002,4,1
350000,3,Stuyvesant Town/Turtle Bay,White,2002,3,2
50000,1,Lower East Side/Chinatown,White,2002,2,1
30000,3,Stuyvesant Town/Turtle Bay,White,2002,4,1
350000,3,Washington Heights/Inwood,White,2002,4,1
1957402,2,Upper West Side,White,2002,4,1
350000,2,Stuyvesant Town/Turtle Bay,White,2002,4,1
1957402,4,Greenwich Village/Financial District,White,2002,5,1
330000,2,Upper West Side,White,2002,5,1
1957402,4,Upper West Side,White,2002,3,1
600000,4,Stuyvesant Town/Turtle Bay,White,2002,3,1
1957402,1,Stuyvesant Town/Turtle Bay,White,2002,1,0
250,3,Washington Heights/Inwood,Hispanic,2002,4,1
1957402,4,Upper East Side,White,2002,5,4
300000,2,Upper East Side,White,2002,5,0
215000,2,Upper East Side,White,2002,3,0
1957402,2,Upper East Side,White,2002,2,2
239000,2,Chelsea/Clinton/Midtown,White,2002,3,1
500000,2,Stuyvesant Town/Turtle Bay,Black,2002,1,1
350000,2,Chelsea/Clinton/Midtown,White,2002,4,1
248000,2,Central Harlem,White,2002,3,0
150000,2,Upper East Side,White,2002,5,1
300000,2,Lower East Side/Chinatown,White,2002,2,1
350000,2,Upper East Side,White,2002,4,1
350000,2,Chelsea/Clinton/Midtown,White,2002,4,1
300000,4,Upper West Side,Black,2002,5,1
150000,3,Central Harlem,Black,2002,2,1
25000,2,East Harlem,Black,2002,1,1
450000,2,Upper East Side,Others,2002,5,1
450000,3,Chelsea/Clinton/Midtown,White,2002,2,1
40000,2,Lower East Side/Chinatown,White,2002,3,1
320000,2,Chelsea/Clinton/Midtown,White,2002,4,1
200000,3,Central Harlem,Black,2002,1,1
140000,3,Washington Heights/Inwood,White,2002,4,0
600000,3,Stuyvesant Town/Turtle Bay,Hispanic,2002,5,0
35000,2,Stuyvesant Town/Turtle Bay,Others,2002,4,1
1957402,7,Upper East Side,Hispanic,2002,5,1
200000,2,Upper West Side,Others,2002,3,1
325000,2,Upper East Side,White,2002,3,0
85000,3,Morningside Heights/Hamilton Heights,Black,2002,2,1
1957402,5,Upper West Side,White,2002,5,2
1957402,5,Upper East Side,White,2002,1,3
350000,2,Upper East Side,White,2002,5,1
450000,2,Upper East Side,White,2002,4,2
1957402,2,Upper West Side,White,2002,4,1
900000,3,Upper East Side,White,2002,1,0
500000,3,Upper East Side,White,2002,5,1
375000,2,Greenwich Village/Financial District,White,2002,5,1
150000,2,Lower East Side/Chinatown,White,2002,2,1
475000,3,Upper East Side,White,2002,5,1
750000,3,Upper East Side,White,2002,5,1
1957402,3,Upper West Side,White,2002,1,2
500000,3,Upper East Side,White,2002,1,0
214000,3,Central Harlem,Black,2002,3,1
150000,5,Morningside Heights/Hamilton Heights,Hispanic,2002,3,1
13500,2,Central Harlem,White,2002,5,1
1957402,4,Stuyvesant Town/Turtle Bay,White,2002,5,0
1957402,4,Upper East Side,White,2002,4,2
500000,3,Chelsea/Clinton/Midtown,White,2002,2,2
920000,3,Upper East Side,White,2002,5,1
750000,3,Stuyvesant Town/Turtle Bay,White,2002,5,1
65000,2,Lower East Side/Chinatown,Others,2002,1,0
450000,2,Stuyvesant Town/Turtle Bay,White,2002,3,1
370000,3,Lower East Side/Chinatown,White,2002,5,1
450000,3,Upper West Side,Hispanic,2002,5,2
225000,1,Stuyvesant Town/Turtle Bay,White,2002,2,0
900000,3,Upper West Side,White,2002,5,2
540000,3,Upper East Side,White,2002,4,1
285000,2,Lower East Side/Chinatown,White,2002,4,1
20000,2,East Harlem,Black,2002,2,1
250000,2,Upper West Side,White,2002,4,1
13500,3,Morningside Heights/Hamilton Heights,White,2002,5,1
1957402,4,Stuyvesant Town/Turtle Bay,White,2002,4,2
650000,3,Upper West Side,White,2002,3,4
1957402,3,Greenwich Village/Financial District,White,2002,5,1
475000,3,Upper East Side,White,2002,5,1
1957402,2,Upper West Side,White,2002,3,0
800000,3,Upper East Side,White,2002,5,1
540000,1,Upper East Side,White,2002,4,0
1957402,6,Upper East Side,White,2002,5,2
300000,3,Central Harlem,Black,2002,1,1
650000,3,Upper East Side,White,2002,5,2
540000,2,Upper East Side,Others,2002,2,1
170000,2,Washington Heights/Inwood,White,2002,2,1
500000,3,Upper West Side,White,2002,3,2
275000,3,Upper East Side,Others,2002,2,1
50000,3,East Harlem,Hispanic,2002,3,1
190000,1,Chelsea/Clinton/Midtown,White,2002,1,0
175000,1,Chelsea/Clinton/Midtown,White,2002,4,0
600000,3,Greenwich Village/Financial District,White,2002,5,3
500000,3,Upper East Side,Black,2002,3,1
800000,3,Upper West Side,White,2002,4,2
500000,2,Upper East Side,White,2002,5,2
800000,2,Upper West Side,White,2002,5,1
200000,2,Upper East Side,White,2002,5,1
300000,3,Upper West Side,Others,2002,3,1
20000,2,Central Harlem,Black,2002,2,1
45000,1,Lower East Side/Chinatown,White,2002,1,1
200000,1,Stuyvesant Town/Turtle Bay,White,2002,3,0
1957402,4,Upper East Side,White,2002,5,3
350000,2,Upper East Side,White,2002,4,1
250000,2,Lower East Side/Chinatown,White,2002,4,0
200000,2,Stuyvesant Town/Turtle Bay,White,2002,3,0
1957402,4,Upper East Side,White,2002,5,4
1957402,3,Stuyvesant Town/Turtle Bay,White,2002,4,1
85000,3,Central Harlem,Black,2002,2,2
1957402,4,Upper West Side,White,2002,5,2
85000,3,Morningside Heights/Hamilton Heights,Black,2002,2,1
275000,2,Lower East Side/Chinatown,White,2002,4,1
390000,2,Upper West Side,White,2002,1,0
250000,2,Chelsea/Clinton/Midtown,White,2002,3,0
200000,1,Chelsea/Clinton/Midtown,White,2002,3,0
42,2,Lower East Side/Chinatown,White,2002,3,1
450000,1,Upper West Side,White,2002,4,0
875000,4,Upper East Side,White,2002,5,2
1957402,3,Chelsea/Clinton/Midtown,White,2002,4,2
225000,2,Upper West Side,White,2002,3,0
1957402,4,Chelsea/Clinton/Midtown,White,2002,5,1
1957402,4,Upper East Side,White,2002,5,3
1957402,3,Stuyvesant Town/Turtle Bay,White,2002,5,3
800000,3,Upper West Side,White,2002,5,1
350000,2,Greenwich Village/Financial District,White,2002,4,1
9880,3,Morningside Heights/Hamilton Heights,White,2002,2,1
250000,3,Chelsea/Clinton/Midtown,White,2002,4,1
250000,3,Chelsea/Clinton/Midtown,White,2002,4,1
200000,1,Greenwich Village/Financial District,White,2002,3,0
93000,3,Morningside Heights/Hamilton Heights,Others,2002,4,1
450000,2,Greenwich Village/Financial District,White,2002,5,1
25000,4,Central Harlem,Black,2002,1,2
240000,2,Upper West Side,White,2002,4,1
450000,2,Greenwich Village/Financial District,White,2002,4,0
150000,2,Upper East Side,White,2002,4,0
500000,3,Chelsea/Clinton/Midtown,Others,2002,4,2
1000000,3,Upper East Side,White,2005,5,0
100000,3,Chelsea/Clinton/Midtown,White,2005,2,1
2571545,4,Upper West Side,White,2005,5,3
2571545,3,Greenwich Village/Financial District,White,2005,5,3
2571545,5,Upper East Side,White,2005,5,3
500000,3,Stuyvesant Town/Turtle Bay,White,2005,5,1
775000,3,Upper West Side,White,2005,5,1
500000,2,Greenwich Village/Financial District,White,2005,3,1
200000,2,Morningside Heights/Hamilton Heights,White,2005,2,0
500000,3,Upper East Side,White,2005,5,2
700000,2,Upper West Side,White,2005,5,2
600000,2,Lower East Side/Chinatown,White,2005,1,1
750000,2,Stuyvesant Town/Turtle Bay,White,2005,1,1
500000,3,Lower East Side/Chinatown,White,2005,2,1
250000,1,Upper West Side,White,2005,4,0
900000,4,Upper East Side,White,2005,5,1
1000000,3,Upper West Side,White,2005,5,2
2571545,3,Upper East Side,White,2005,4,3
800000,4,Stuyvesant Town/Turtle Bay,White,2005,5,1
2571545,5,Greenwich Village/Financial District,White,2005,4,3
725000,2,Greenwich Village/Financial District,White,2005,2,1
2571545,3,Upper West Side,White,2005,4,1
150000,2,Chelsea/Clinton/Midtown,White,2005,5,1
900000,3,Upper East Side,White,2005,4,2
950000,5,Upper West Side,White,2005,3,3
800000,4,Stuyvesant Town/Turtle Bay,White,2005,4,4
2571545,4,Upper West Side,White,2005,2,2
1295000,3,Upper East Side,Hispanic,2005,1,1
2571545,3,Upper East Side,White,2005,4,3
400000,2,Lower East Side/Chinatown,White,2005,4,1
240000,2,Morningside Heights/Hamilton Heights,White,2005,4,1
415000,2,Chelsea/Clinton/Midtown,White,2005,4,1
500000,3,Stuyvesant Town/Turtle Bay,White,2005,4,1
15000,1,East Harlem,Black,2005,4,0
400000,2,Chelsea/Clinton/Midtown,White,2005,3,1
2571545,4,Greenwich Village/Financial District,White,2005,5,2
300000,2,Greenwich Village/Financial District,White,2005,5,1
650,3,Upper West Side,White,2005,2,2
400000,3,Central Harlem,White,2005,4,3
500000,2,Upper East Side,White,2005,5,1
1000000,3,Upper West Side,White,2005,5,0
800000,4,Lower East Side/Chinatown,White,2005,4,1
400000,3,Central Harlem,White,2005,1,1
2571545,3,Chelsea/Clinton/Midtown,White,2005,5,0
1000000,2,Upper West Side,White,2005,4,0
325000,2,Chelsea/Clinton/Midtown,White,2005,4,1
500000,2,Chelsea/Clinton/Midtown,White,2005,5,1
400000,2,Upper West Side,White,2005,4,1
370000,2,Upper East Side,Others,2005,1,0
650000,2,Greenwich Village/Financial District,White,2005,2,1
415000,2,Chelsea/Clinton/Midtown,White,2005,5,1
350000,1,Chelsea/Clinton/Midtown,White,2005,2,0
200000,2,Washington Heights/Inwood,Hispanic,2005,3,0
500000,1,Greenwich Village/Financial District,White,2005,3,0
600000,3,Upper East Side,White,2005,5,1
700000,2,Upper West Side,White,2005,5,2
2571545,2,Upper West Side,White,2005,3,0
350000,2,Upper East Side,White,2005,5,1
2571545,4,Upper West Side,White,2005,5,3
250000,3,Greenwich Village/Financial District,White,2005,3,1
550000,2,Greenwich Village/Financial District,White,2005,5,1
2571545,3,Upper West Side,White,2005,5,3
600000,2,Stuyvesant Town/Turtle Bay,White,2005,5,1
600000,1,Upper East Side,White,2005,3,0
590000,2,Chelsea/Clinton/Midtown,White,2005,4,1
250000,1,Stuyvesant Town/Turtle Bay,White,2005,2,1
600000,2,Upper West Side,White,2005,2,1
275000,1,Stuyvesant Town/Turtle Bay,White,2005,5,0
600000,2,Chelsea/Clinton/Midtown,White,2005,4,2
519000,2,Upper West Side,White,2005,2,1
2571545,3,Chelsea/Clinton/Midtown,White,2005,5,5
560000,2,Stuyvesant Town/Turtle Bay,White,2005,5,1
40000,4,Central Harlem,Hispanic,2005,1,1
600000,2,Upper West Side,White,2005,3,1
350000,2,Upper West Side,White,2005,4,1
800000,2,Upper West Side,White,2005,5,1
300000,3,Greenwich Village/Financial District,White,2005,5,2
2571545,2,Lower East Side/Chinatown,White,2005,2,1
325000,2,Chelsea/Clinton/Midtown,White,2005,4,1
700000,2,Greenwich Village/Financial District,White,2005,4,1
1000000,2,Upper West Side,White,2005,4,0
500000,3,Upper West Side,White,2005,4,1
500000,2,Upper East Side,White,2005,5,1
2571545,1,Greenwich Village/Financial District,White,2005,3,0
100000,4,Morningside Heights/Hamilton Heights,Black,2005,3,1
2571545,4,Upper West Side,White,2005,5,1
100000,2,Lower East Side/Chinatown,White,2005,2,1
1000000,2,Chelsea/Clinton/Midtown,White,2005,5,1
500000,2,Stuyvesant Town/Turtle Bay,White,2005,5,1
500000,1,Greenwich Village/Financial District,Others,2005,4,1
1000000,1,Upper East Side,White,2005,5,1
300000,3,Lower East Side/Chinatown,White,2005,3,0
2571545,2,Upper West Side,White,2005,4,1
450000,2,Upper East Side,White,2005,4,1
500000,4,Upper East Side,White,2005,3,3
750000,2,Morningside Heights/Hamilton Heights,White,2005,3,1
500000,2,Chelsea/Clinton/Midtown,White,2005,5,0
180000,2,Lower East Side/Chinatown,Hispanic,2005,4,1
100000,5,Morningside Heights/Hamilton Heights,Black,2005,4,1
100000,3,Morningside Heights/Hamilton Heights,Black,2005,4,1
1100000,4,Upper East Side,White,2005,1,4
250000,2,East Harlem,Black,2005,2,1
2571545,4,Upper West Side,White,2005,5,3
290000,3,Upper West Side,White,2005,5,1
2571545,1,Stuyvesant Town/Turtle Bay,White,2005,3,1
550000,1,Upper East Side,White,2005,3,0
700000,2,Stuyvesant Town/Turtle Bay,Others,2005,3,1
190000,2,Upper East Side,White,2005,4,1
2571545,2,Lower East Side/Chinatown,White,2005,5,1
600000,1,Upper East Side,White,2005,5,0
125000,1,Upper East Side,White,2005,3,0
650000,2,Stuyvesant Town/Turtle Bay,White,2005,5,1
550000,2,Upper West Side,White,2005,4,1
650000,3,Upper East Side,White,2005,5,2
2571545,3,Chelsea/Clinton/Midtown,White,2005,5,3
6000,3,Central Harlem,Black,2005,2,0
100000,3,Morningside Heights/Hamilton Heights,White,2005,1,1
500000,2,Upper East Side,White,2005,2,0
200000,3,Upper West Side,Black,2005,1,1
650000,3,Stuyvesant Town/Turtle Bay,Others,2005,5,1
1000000,3,Greenwich Village/Financial District,White,2005,5,1
2571545,3,Upper West Side,White,2005,5,2
800000,4,Stuyvesant Town/Turtle Bay,White,2005,2,4
385000,2,Chelsea/Clinton/Midtown,White,2005,2,0
800000,3,Upper West Side,White,2005,4,1
600000,2,Upper East Side,White,2005,5,2
600000,2,Upper West Side,White,2005,4,0
550000,2,Chelsea/Clinton/Midtown,Hispanic,2005,2,0
200000,3,Upper East Side,White,2005,4,2
2571545,3,Upper East Side,White,2005,4,4
550000,3,Upper East Side,White,2005,5,1
300000,2,Chelsea/Clinton/Midtown,Hispanic,2005,3,1
1000000,3,Upper East Side,White,2005,4,3
600000,2,Stuyvesant Town/Turtle Bay,White,2005,5,1
950000,3,Upper West Side,White,2005,5,0
600000,3,Upper East Side,White,2005,4,1
750000,3,Morningside Heights/Hamilton Heights,White,2005,4,1
2571545,3,Greenwich Village/Financial District,White,2005,4,2
1000000,6,Lower East Side/Chinatown,White,2005,5,2
500000,2,Greenwich Village/Financial District,Others,2005,4,1
2571545,2,Upper West Side,White,2005,5,1
800000,3,Lower East Side/Chinatown,White,2005,4,1
250000,3,Lower East Side/Chinatown,White,2005,2,1
100000,3,Morningside Heights/Hamilton Heights,Black,2005,2,1
600000,3,Lower East Side/Chinatown,White,2005,5,2
1000000,4,Lower East Side/Chinatown,Hispanic,2005,2,0
2500,3,Central Harlem,Black,2005,1,1
600000,2,Upper West Side,White,2005,4,1
450000,2,Chelsea/Clinton/Midtown,White,2005,4,2
650000,2,Stuyvesant Town/Turtle Bay,White,2005,2,1
1100000,2,Upper East Side,White,2005,2,1
390000,1,Greenwich Village/Financial District,White,2005,1,0
550000,2,Upper West Side,White,2005,4,1
400000,3,Lower East Side/Chinatown,White,2005,5,1
1000000,3,Upper East Side,White,2005,5,1
2571545,2,Upper East Side,White,2005,5,1
375000,2,Upper East Side,White,2005,5,1
500000,4,Chelsea/Clinton/Midtown,White,2005,3,2
800000,2,Stuyvesant Town/Turtle Bay,White,2005,4,1
1200000,2,Greenwich Village/Financial District,White,2005,2,1
500000,1,Upper East Side,White,2005,3,0
1000000,1,Upper West Side,White,2005,5,0
500000,1,Stuyvesant Town/Turtle Bay,White,2005,2,0
750000,1,Chelsea/Clinton/Midtown,White,2005,4,0
500000,3,Upper East Side,White,2005,5,1
330000,2,Upper East Side,White,2005,5,1
200000,2,Upper East Side,White,2005,5,1
2571545,3,Chelsea/Clinton/Midtown,Hispanic,2005,4,1
2571545,3,Lower East Side/Chinatown,Others,2005,1,1
250000,1,Stuyvesant Town/Turtle Bay,White,2005,3,1
1000000,3,Upper East Side,White,2005,5,1
300000,2,Upper East Side,Hispanic,2005,5,1
250000,2,Upper West Side,White,2005,2,0
325000,2,Washington Heights/Inwood,White,2005,4,1
380000,2,Stuyvesant Town/Turtle Bay,Black,2005,3,1
400000,2,Upper East Side,White,2005,4,1
500000,2,Upper West Side,White,2005,5,1
160000,1,Stuyvesant Town/Turtle Bay,White,2005,3,0
210000,2,Lower East Side/Chinatown,White,2005,2,0
900000,3,Stuyvesant Town/Turtle Bay,White,2005,4,1
2571545,6,Upper East Side,White,2005,3,2
100000,4,Morningside Heights/Hamilton Heights,Others,2005,4,1
800000,3,Upper West Side,White,2005,5,1
775000,3,Upper East Side,White,2005,4,1
1300000,3,Upper West Side,Others,2005,5,2
600000,3,Lower East Side/Chinatown,Black,2005,5,1
700000,2,Upper West Side,White,2005,4,2
2571545,3,Chelsea/Clinton/Midtown,White,2005,5,3
2571545,1,Upper West Side,White,2005,1,0
60000,3,Stuyvesant Town/Turtle Bay,Hispanic,2005,3,1
800000,4,Stuyvesant Town/Turtle Bay,White,2005,5,4
380000,4,Central Harlem,White,2005,4,1
250000,1,Upper West Side,White,2005,2,1
600000,3,Upper East Side,White,2005,5,2
700000,4,Upper West Side,White,2005,5,4
200000,1,Upper West Side,Hispanic,2005,3,0
275000,1,Chelsea/Clinton/Midtown,White,2005,2,0
2571545,2,Chelsea/Clinton/Midtown,White,2005,5,1
2500,2,Central Harlem,Black,2005,2,1
650000,2,Greenwich Village/Financial District,White,2005,5,2
450000,2,Stuyvesant Town/Turtle Bay,White,2005,4,1
2571545,4,Upper East Side,White,2005,2,3
500000,3,Upper West Side,White,2005,3,1
400000,3,Upper East Side,White,2005,4,1
54000,1,Morningside Heights/Hamilton Heights,White,2005,3,1
189000,3,East Harlem,Hispanic,2005,1,1
500000,2,Stuyvesant Town/Turtle Bay,White,2005,5,1
300000,3,Upper East Side,White,2005,5,1
2571545,2,Upper West Side,White,2005,5,1
2571545,3,Upper East Side,White,2005,5,1
450000,3,Stuyvesant Town/Turtle Bay,White,2005,2,1
800000,4,Stuyvesant Town/Turtle Bay,White,2005,2,1
500000,1,Greenwich Village/Financial District,White,2005,5,1
725000,2,Greenwich Village/Financial District,White,2005,4,1
225000,2,Upper East Side,White,2005,5,1
475000,2,Upper West Side,Others,2005,4,1
1000000,3,Upper West Side,White,2005,4,1
1200000,2,Upper East Side,Others,2005,5,1
500000,2,Upper East Side,White,2005,4,1
590000,2,Chelsea/Clinton/Midtown,Others,2005,3,1
6500,3,Central Harlem,Black,2005,4,2
950000,3,Upper West Side,White,2005,4,1
1000000,2,Upper East Side,White,2005,5,1
415000,2,Stuyvesant Town/Turtle Bay,Others,2005,5,1
500000,2,Chelsea/Clinton/Midtown,White,2005,5,1
390000,3,Washington Heights/Inwood,White,2005,5,2
500000,2,Stuyvesant Town/Turtle Bay,White,2005,5,1
250000,2,Chelsea/Clinton/Midtown,Hispanic,2005,2,0
350000,3,Upper West Side,White,2005,2,1
1000000,2,Upper East Side,White,2005,5,1
225000,2,Upper East Side,White,2005,2,1
475000,2,Stuyvesant Town/Turtle Bay,White,2005,3,1
125000,3,Upper East Side,White,2005,4,1
2571545,3,Greenwich Village/Financial District,White,2005,5,2
300000,1,Stuyvesant Town/Turtle Bay,White,2005,4,0
2571545,2,Chelsea/Clinton/Midtown,White,2005,5,1
450000,2,Stuyvesant Town/Turtle Bay,Others,2005,3,1
2571545,3,Upper East Side,White,2005,5,5
500000,2,Washington Heights/Inwood,Others,2005,5,1
316000,3,Lower East Side/Chinatown,Hispanic,2005,4,1
1000000,5,Upper East Side,White,2005,4,3
2571545,2,Lower East Side/Chinatown,Black,2005,1,1
600000,3,Upper East Side,White,2005,5,1
1000000,4,Stuyvesant Town/Turtle Bay,White,2005,5,2
500000,2,Chelsea/Clinton/Midtown,Others,2005,4,1
400000,2,Upper West Side,White,2005,4,1
1000000,5,Upper West Side,White,2005,1,3
1000000,3,Upper West Side,White,2005,4,3
2571545,3,Greenwich Village/Financial District,White,2005,5,2
2571545,2,Upper East Side,White,2005,2,3
2571545,3,Stuyvesant Town/Turtle Bay,White,2005,2,1
2571545,2,Upper East Side,White,2005,3,1
1000000,3,Upper East Side,White,2005,4,1
200000,1,Stuyvesant Town/Turtle Bay,Others,2005,1,0
2571545,4,Upper West Side,White,2005,4,2
250000,2,Stuyvesant Town/Turtle Bay,White,2005,4,1
2571545,6,Chelsea/Clinton/Midtown,White,2005,4,2
1000000,2,Lower East Side/Chinatown,White,2005,5,1
2571545,4,Stuyvesant Town/Turtle Bay,White,2005,5,3
350000,2,Upper East Side,White,2005,2,1
500000,1,Chelsea/Clinton/Midtown,White,2005,3,0
100000,4,Central Harlem,Black,2005,3,1
600000,3,Upper East Side,Hispanic,2005,4,1
1000000,2,Upper West Side,White,2005,5,1
20000,3,East Harlem,Black,2005,2,1
400000,2,Washington Heights/Inwood,White,2005,2,1
2571545,3,Upper West Side,White,2005,4,4
2571545,6,Chelsea/Clinton/Midtown,White,2005,5,2
1400000,3,Upper West Side,White,2005,5,0
200000,4,Upper East Side,White,2005,5,1
10000,1,East Harlem,Hispanic,2005,3,0
450000,3,Stuyvesant Town/Turtle Bay,Others,2005,5,3
120000,2,Chelsea/Clinton/Midtown,White,2005,2,1
200000,2,Upper West Side,White,2005,2,1
700000,2,Stuyvesant Town/Turtle Bay,Hispanic,2005,2,1
